#CODE;RUSSIAN;x
INSULT_PIGFACE;хрюшка;x #child
EVTOPTA_RIP_12063;Это ужасно...;x
EVTOPTA_RIP_12063_TOOLTIP;[captured_sneaker.GetBestName]! Эта крыса воспользовалась беспорядками и сбежала!\n\n;x
EVTOPTB_RIP_12063;Ужасно...;x
EVTOPTB_RIP_12063_TOOLTIP;[captured_sneaker.GetBestName]... возможно у н[captured_sneaker.GetHersHis] были планы действий, но темница не позволила им реализоваться\n\n;x
suspected_assassin;Подозревается в убийстве;x
survived_assassination;Уничтожил убийцу;x
EVTDESC_RIP_12064;Когда дверная ручка тихонько проворачивается, а дверь начинает открываться - вы уже готовы. Затаившись вы ждёте, пока фигура в плаще сделает несколько шагов вперёд. Короткий замах и ваш кинжал легко входит в спину убийцы...;x
EVTOPTA_RIP_12064;Сдохни, [GetRootFromFromInsult]!;x
EVTOPTA_RIP_12064_TOOLTIP;Вам удалось выжить и уничтожить убийцу\n\n;x
EVTDESC_RIP_12065;Вы чуть было не подпрыгнули, когда дверная ручка начала проворачиваться, а дверь тихонько приоткрылась. Вы ждали этого. Убийца делает один шаг в комнату и вы с воем бросаетесь на него. Сцепившись, вы вместе падаете на пол и начинаете бороться. Убийца борется отчаянно и в итоге одерживает верх. Однако, ваш крик был услышан стражей и она уже спешит вам на помощь.;x
EVTOPTA_RIP_12065;По крайней мере, я выжил;x
EVTOPTA_RIP_12065_TOOLTIP;Вам удалось избежать смерти, но Вы серьёзно ранены\n\n;x
EVTDESC_RIP_12066;Каждое мгновение растягивается словно вечность, ваше сердце уже готово выпрыгнуть из груди. Однако, время идёт, а ничего не происходит, в то время,как ваше мужество начинает истощаться, а руки дрожать. Внезапно, вы вздрагиваете от звука у себя за спиной. Начинаете поворачиваться и натыкаетесь на что-то твёрдое... кинжал пронзает ваш живот...;x
EVTOPTA_RIP_12066;Только... не... это;x
EVTOPTA_RIP_12066_TOOLTIP;Убийца покидает Ваш двор, успешно выполнив своё задание\n\n;x
opinion_budding_romance;Многообещающий роман;x
peasant_leader_desc;Эт[GetEtaEtot] [GetAgedPerson] - крестьян[GetKaIn], котор[GetAyaYy] восстал[GetEndA] против своих господ.;x
EVTDESC_RIP_13500;Придворный [Root.Religion.GetPriestTitle] сообщает мне, что на моих землях начинаются волнения. Это связано с недавней вспышкой болезни. Люди считают, что виной тому стал [Root.Religion.GetRandomEvilGodName], а некоторые и вовсе обвиняют в этом меня, говоря, что я мог бы почаще появляться в храме.;x
EVTOPTA_RIP_13500;Они правы, я должен чаще наведываться туда;x
EVTOPTA_RIP_13500_TOOLTIP;Вы будете посещать храм дважды в день.\n;x
EVTOPTB_RIP_13500;Эпидемия ещё не закончилась... отправьте двойника!;x
EVTOPTB_RIP_13500_TOOLTIP;Пусть [Root.GetSpymasterName] §Y[hindu_spymaster.GetFirstName]§! наймёт актёра, чтобы тот посещал храм дважды в день.\n;x
EVTOPTC_RIP_13500;Я построю храм!;x
EVTOPTC_RIP_13500_TOOLTIP;Построить новый [Root.Capital.County.GetAdjective]ский храм.\n;x
EVTOPTD_RIP_13500;Я [Root.SetTitle]! Я делаю, что пожелаю.;x
EVTOPTD_RIP_13500_TOOLTIP;Позволить беспорядкам продолжаться.;x
EVTDESC_RIP_13501_A;Я помещаю базилик на ступенях храма. Я зажигаю Дию, и я читаю мантры просветления Шивы. Мои действия показывают ответственность, с которой я подхожу к ритуалам, но самое главное - я чувствую себя воссоединенным с моим богом-покровителем, справедливым Шивой.;x
EVTDESC_RIP_13501_B;Я помещаю базилик на ступенях храма. Я зажигаю Дию, и я читаю священные слова Вишну. Мои действия показывают ответственность, с которой я подхожу к ритуалам, но самое главное - я чувствую себя воссоединенным с моим богом-покровителем, защитником Вишну.;x
EVTDESC_RIP_13501_C;Я помещаю базилик на ступенях храма. Я зажигаю Дию, и я фокусирую моё сознание на Брахме. Мои действия показывают ответственность, с которой я подхожу к ритуалам, но самое главное - я чувствую себя воссоединенным с моим богом-покровителем, могучим Брахмой.;x
EVTDESC_RIP_13501_D;Я помещаю базилик на ступенях храма. Я зажигаю Дию, и повторяю песнопения в честь Кали. Мои действия показывают ответственность, с которой я подхожу к ритуалам, но самое главное - я чувствую себя воссоединенным с моим богом-покровителем, Кали - богиней времени.;x
EVTDESC_RIP_13501_E;Я помещаю базилик на ступенях храма. Я зажигаю Дию, и читаю мантры Ганеши. Мои действия показывают ответственность, с которой я подхожу к ритуалам, но самое главное - я чувствую себя воссоединенным с моим богом-покровителем, мудрым Ганешей.;x
EVTDESC_RIP_13501_F;Я помещаю базилик на ступенях храма. Я зажигаю Дию, и читаю мантры. Мои действия показывают ответственность, с которой я подхожу к ритуалам, но самое главное - я чувствую себя воссоединенным с моим богом-покровителем, священным Гангом.;x
EVTDESC_RIP_13501_G;Я помещаю базилик на ступенях храма. Я зажигаю Дию, и читаю мантру [Root.Religion.GetHighGodName]. Мои действия показывают ответственность, с которой я подхожу к ритуалам, но самое главное, я чувствую себя воссоединенным с богами.;x
EVTOPTA_RIP_13501;Я прошу божьей милости.;x
EVTDESC_RIP_13502;Регулярные визиты моего агента в храм смогли усмирить простолюдинов. Иногда я задумываюсь, считает ли [Root.Religion.GetHighGodName], что я обманываю свой народ? В любом случае, я думаю, что никому не будет хорошо, если их [Root.GetTitle] заболеет.;x
EVTOPTA_RIP_13502;Давайте следить за шарадой! Крестьян действительно слишком легко обмануть.;x
EVTOPTA_RIP_13502_TOOLTIP;В зависимости от Вашего коварства простолюдины смогут или не смогут полностью успокоиться.\n\n;x
EVTOPTB_RIP_13502;Я должен остановить это.;x
EVTOPTB_RIP_13502_TOOLTIP;Вы прекратите обман.\n\n;x
devoted_worshiper;Преданный почитатель;x
EVTDESC_RIP_13503;Пред лицом ужасных событий, жители города [Root.Capital.GetName] обрели новую веру - веру в то, что их [Root.GetTitle] спасёт их. Одна из семей даже послала своего единственного ребенка, чтобы тот стал моим слугой, если я того захочу - они считают, что тем самым они послужат [Root.Religion.GetHighGodName]у.;x
EVTOPTA_RIP_13503;Что ж, он может стать хорошим слугой.;x
EVTOPTA_RIP_13503_TOOLTIP;Ребёнок по имени §Y[zealous_child.GetBestName]§! появится при Вашем дворе.\n§YГражданские беспорядки§! прекратятся во всех личных землях\n;x
EVTOPTB_RIP_13503;Я не хочу отрывать ребенка от его семьи.;x
EVTOPTB_RIP_13503_TOOLTIP;Преподнести семье ребёнка подарок, рекомендуя отправить его в храм на обучение.\n§YГражданские беспорядки§! прекратятся на всех личных землях\n;x
EVTDESC_RIP_13504;Простолюдины раскрыли мою уловку! Они убили моего двойника и подожгли храм! Теперь они думают, что я, как и боги, отвернулся от них.;x
EVTOPTA_RIP_13504;Грязные крестьяне, как они смеют?!;x
EVTOPTA_RIP_13504_TOOLTIP;Личные земли получат модификатор §Yразъярённые крестьяне§! на 10 лет, что даст следующие эффекты:\nМестный риск восстаний: §R+25.0%§!\nМестный сбор налогов: §R-75.0%§!\n;x
EVTOPTB_RIP_13504;[Root.GetSpymasterName] оказывается совершенно бесполезен!;x
EVTOPTB_RIP_13504_TOOLTIP;Заявить, что всему виной [Root.GetSpymasterName]!\n\n;x
failed_temple_ruse;Коварный правитель;x
fake_worshiper;Посещение храма;x
fake_worshiper_felt_guilty;Посещение храма;x
EVTDESC_RIP_13505;Двойник, которого я нанял, на самом деле даже не похож на меня, но большинство крестьян никогда не видели мое лицо - не удивительно, что они считали, что некрасивый самозванец - это и есть их [Root.SetTitle].;x
EVTOPTA_RIP_13505;Я люблю хорошие розыгрыши.;x
EVTOPTA_RIP_13505_TOOLTIP;§YГражданские беспорядки§! прекратятся на всех личных землях\n;x
EVTOPTB_RIP_13505;Я не смог бы сделать этого, если бы не [Root.GetSpymasterName].;x
opinion_was_praised;Получил поощрение;x
EVTDESC_RIP_13506;Речь, которую я сказал о богах, требующих труда каждого, вложила приличное количество страха в простолюдинов - они работают круглосуточно, наперегонки с болезнью. Тем не менее, некоторые мятежники стали саботировать строительство, и подозреваемые были доставлены ко мне. Ими оказалась ватага мальчишек.;x
EVTOPTA_RIP_13506;Разрушать храмы? Рубите им головы!;x
EVTOPTA_RIP_13506_TOOLTIP;Казнить уличных смутьянов и поднять дух Ваших рабочих.\n\n§YГражданские беспорядки§! прекратятся на всех личных землях\n;x
EVTOPTB_RIP_13506;Им будет безопаснее... в тюрьме!;x
EVTOPTB_RIP_13506_TOOLTIP;Бросить вандалов в темницу.\n\n;x
EVTOPTC_RIP_13506;Злодеи? Да они же дети!;x
EVTOPTC_RIP_13506_TOOLTIP;Пощадить ребят. §Y[vagrant_child_1.GetBestName]§! и §Y[vagrant_child_2.GetBestName]§! присоединятся к Вашему двору.\n\nЛичные земли получат модификатор §Yразъярённые крестьяне§! на 10 лет, что даст следующие эффекты:\nМестный риск восстаний: §R+25.0%§!\nМестный сбор налогов: §R-75.0%§!\n;x
EVTDESC_RIP_13507_A;Храм закончен, а люди вытирают потные лица. [Root.Religion.GetRandomEvilGodNameCap] потеряет всю силу в моих землях. Мы смогли достигнуть своей цели!;x
EVTDESC_RIP_13507_B;В том месте, где я планировал создать свой храм, уже идёт строительство! Строители решили немного обобрать меня и потому "забыли" мне об этом сообщить. К счастью, [Root.GetTreasurerName] уже разбирается с ними. По крайней мере, я смогу вернуть часть средств.;x
EVTOPTA_RIP_13507;Некоторые люди уверены, что хорошо работается лишь под давлением.;x
EVTOPTA_RIP_13507_TOOLTIP;Модификатор §Yразъярённые крестьяне§! будет снят со всех Ваших земель.\n;x
EVTOPTB_RIP_13507;Какая неудача!;x
EVTOPTB_RIP_13507_TOOLTIP;Ваша попытка успокоить крестьян потерпела неудачу.;x
EVTDESC_RIP_13508_A;[Vagrant_child_1.GetBestName] был пойман при попытке пробраться в конюшню. [Vagrant_child_1.GetHerHisCap] родственники утверждают, что он дружит с одним из слонов в конюшнях, но шум снаружи взбесил животное, и [vagrant_child_1.GetBestName] был ранен. Рабочие оставили свои рабочие места, объявив проект проклятым!;x
EVTOPTA_RIP_13508;Что за дурацкий ребёнок?! И зачем я [vagrant_child_1.GetHerHis] пригласил?;x
EVTOPTA_RIP_13508_TOOLTIP;Ваши попытки подавить крестьянские беспорядки завершились неудачей;x
EVTDESC_RIP_13508_B;Конюшни рядом со стройкой объяты хаосом - слоны взбесились и крушат всё вокруг. Некоторые работники убиты, а остальные отказываются вернуться на стройку. Они говорят, что этот проект проклят!;x
EVTOPTB_RIP_13508;Суеверные крестьяне! А как же мои инвестиции?;x
EVTNAME_RIP_15100;Bсадник в белом;x
EVTDSC_RIP_15100;Источники докладывают, что в ваших землях объявился человек, который называет себя воплощением [Root.Religion.GetHighGodName]а, они говорят, что люди называют [EoD_doomsday_prophet.GetHerHis] "Белый Всадник". В течении долгих месяцев этот предатель собирал вокруг себя людей, призывая их к войне против всего мира смертных. Слухи говорят, что [EoD_doomsday_prophet.GetSheHe] семь футов в высоту, а [EoD_doomsday_prophet.GetHerHis] голос заставляет землю дрожать.\n\nОднако, Вы прекрасно понимаете, что это всего лишь сплетни. Что беспокоит Вас больше всего, так это поддержка людей, которой он смог добиться...;x
EVTOPTA_RIP_15100;Я должен знать, кто за этим стоит!;x
EVTDSC_RIP_15101;Ваш двор взволнован слухами о грядущей новой эре и о том, что спастись можно лишь через пламя. Пока расследование по Белому Всаднику продолжается, Вам нужно занять твёрдую позицию, касательно него и его последователей.;x
EVTOPTA_RIP_15101;Я буду насмехаться над ним в своих выступлениях;x
EVTOPTB_RIP_15101;Я назову его опасным еретиком;x
EVTOPTC_RIP_15101;Я буду угрожать тем, кто испытывает к нему симпатию;x
EVTDSC_RIP_15103_A;Мой дорогой друг [Root.GetFirstName].\nМеня очень беспокоят слухи, что бродят о земле [Root.Capital.GetName]. Неужели люди и правда верят в скорый конец света? А этот странный культ с каждым днём всё сильнее? Это несёт опасность для всех нас, поэтому я прошу Вас покончит с этим поскорее.\n\nС уважением,\n[From.GetTitledName];x
EVTDSC_RIP_15103_B;Мой дорогой друг [Root.GetFirstName].\nО земле [Root.Capital.GetName] ходят странные слухи. Что-то о странном культе, скорой расплате и конце света. Это несёт опасность для всех нас, смиренно прошу Вас покончит с этим поскорее.\n\nС уважением,\n[From.GetTitledName];x
EVTDSC_RIP_15103_C;[Root.GetTitledFirstName], я не хотел писать вам, однако, не сдержался.\nДо меня дошли слухи о тех вещах, что происходят в землях [Root.Capital.GetName] и я еле сдерживаю свою радость. Я давно мечтаю о вашей смерти, а то, что причиной этого станет ваше дурное правление и ваши собственные люди греет мою душу больше всего остального.\nБез уважения, [From.GetTitledName];x
EVTOPTA_RIP_15103;О, Боже!;x
EVTOPTB_RIP_15103;Я понимаю.;x
EVTOPTC_RIP_15103;Чёртов шакал!;x
EVTDSC_RIP_15104;Двор находится в смятении, люди напуганы слухами. "[Root.GetLordLady]! В-в-войска!", - заикается вбежавший слуга, а в его глазах вы видите панику. Поднявшись на стену, вы видите, что под вашими стенами собралось значительное количество вооруженных людей, а над ними реет знамя Белого Всадника.;x
EVTOPTA_RIP_15104;Успокойтесь. Мне нужно поговорить с их лидером!;x
EVTOPTA_RIP_15104_TOOLTIP;Использовать навыки дипломатии, чтобы предотвратить кровопролитие.\n;x
EVTOPTB_RIP_15104;Слова нужны лишь слабым.;x
EVTOPTB_RIP_15104_TOOLTIP;Ринуться в бой на встречу безумцу!\n;x
gave_funny_speech;Красноречие;x
gave_pious_speech;Духовный проводник;x
gave_scary_speech;Грозный правитель;x
EoD_UPRISING;[Root.GetRelAdj]ское возмездие;x
EVTDSC_RIP_15105;Стражники бросают лидера повстанцев передо мною на пол. В [EoD_doomsday_prophet.GetHerHis] глазах горит пламя фанатизма.\n"Праведники спасутся через пламя. Если Вы праведны - Вам нечего меня бояться", - говорит [EoD_doomsday_prophet.GetSheHe] с жаром.;x
EVTOPTA_RIP_15105;Достаточно! Давайте заключим сделку...;x
EVTOPTA_RIP_15105_TOOLTIP;Пусть §Y[EoD_doomsday_prophet.GetFirstName]§! распустит свои войска в обмен на титул.\n\n§YРелигиозная напряжённость§! прекратится на личных землях\n;x
EVTOPTB_RIP_15105;В тюрьме мы тебя "вылечим";x
EVTOPTB_RIP_15105_TOOLTIP;§Y[EoD_doomsday_prophet.GetFirstName]§! отправится в темницу - это должно [EoD_doomsday_prophet.GetHersHis] остудить.\n\n§YРелигиозная напряжённость§! прекратится на личных землях\n;x
EVTOPTC_RIP_15105;Сожгите еретика!;x
EVTOPTC_RIP_15105_TOOLTIP;§Y[EoD_doomsday_prophet.GetFirstName]§! получит по заслугам.\n\nЛичные земли получат модификатор §YПророка отправили на костёр§! на 1 год, что даст следующие эффекты:\nМестный риск восстаний: §R+10.0%§!\n;x
nick_the_survivor;Выживший;x
ordered_our_prophet_executed;Пророка отправили на костёр;x
EVTDSC_RIP_15106;Уважаемый, [Root.GetBestName].\nМне никогда не были нужны титулы, единственное моё желание - спасти заблудшие души. Надеюсь, мои молитвы помогут вам избежать очищающего пламени.\n\nС уважением, [EoD_doomsday_prophet.GetFirstName].;x
EVTOPTA_RIP_15106;Я вижу.;x
EVTDSC_RIP_15107_A;Они нашли [EoD_doomsday_prophet.GetHerHim] на дереве, неподалеку от столицы. Меня беспокоит то, что [EoD_doomsday_prophet.GetFirstName] может стать мучеником после подобной смерти. Однако, я до сих пор не понимаю причин сего действа... и до сих пор не читаю письмо, что "Белый Всадник" оставил для меня.;x
EVTDSC_RIP_15107_B;Они нашли [EoD_doomsday_prophet.GetHerHim] на дереве, неподалеку от столицы. Мои учёные говорят, что [EoD_doomsday_prophet.GetFirstName] может стать мучеником после подобной смерти. Однако, я до сих пор не понимаю причин сего действа...и до сих пор не читаю письмо, что "Белый Всадник" оставил для меня.;x
EVTOPTA_RIP_15107;Пришло время прочитать письмо.;x
EVTOPTB_RIP_15107;Мне стоит выбросить письмо.;x
EVTDSC_RIP_15108_A;Я должен проверить свою теорию! И если я прав, то никакого вреда мне не будет. Однако, если вы держите это письмо в своих руках, то видимо [Root.Religion.GetHighGodName] уже забрал меня к себе... а возможно это сделал и [Root.Religion.GetRandomEvilGodName]...Это значит...что я действительно сошёл с ума и "Война судного дня" лишь погубила бы мой народ.\n\nПростите меня, [EoD_doomsday_prophet.GetBestName];x
EVTDSC_RIP_15108_B;Если вы читаете это, значит [Root.Religion.GetHighGodName] уже забрал меня к себе...хотя, возможно, это сделал и [Root.Religion.GetRandomEvilGodName]. В любом случае, это значит, что я был не прав и мои идеи лишь привели бы множество людей к гибели. Спасибо, что остановили меня.\n\n[EoD_doomsday_prophet.GetBestName];x
EVTOPTA_RIP_15108;Очень хорошо.;x
EVTDSC_RIP_15109;Когда костёр уже был сложен, а пламя охватило первые поленья, во мраке появились люди в балахонах. При свете огня в их руках блеснули кинжалы. Быстро стало ясно, что [EoD_doomsday_prophet.GetFirstName] является их целью и они хотят спасти [EoD_doomsday_prophet.GetHerHis]. Завязалось сражение, в толчее и хаосе которого [EoD_doomsday_prophet.GetHerHim] удалось сбежать.;x
EVTOPTA_RIP_15109;Как это возможно?!;x
EVTDSC_RIP_15110;Получатель - [Root.GetBestName]\nЯ верю, что вы действовали так, как того требовали обстоятельства. Я не виню вас. Однако, даже сам [Root.Religion.GetRandomEvilGodName] не спасёт вас, если вы слишком сильно отклонились от его заветов. Будьте осторожны! И берегите своих людей.\n\nС уважением, [EoD_doomsday_prophet.GetBestName].;x
EVTOPTA_RIP_15110;Отлично...;x
EVTDSC_RIP_15111;Всё чего мне хотелось - это просто проверить на своём ли месте пойманный лжепророк [EoD_doomsday_prophet.GetBestName]. Однако, стоило мне подойди к стражнику с подобной просьбой, как в ответ мне донеслось: "Эээ...Белый Всадник, да? Не думаю, что это возможно. [EoD_doomsday_prophet.GetSheHeCap], знаете ли, больше не в темнице...";x
EVTOPTA_RIP_15111;Побег?! Некомпетентные глупцы!;x
EVTDSC_RIP_15113;[EoD_doomsday_prophet.GetBestName] на удивление быстро осваивается с теми условиями, что я [EoD_doomsday_prophet.GetHerHim] устраиваю. Всё чаще мне начинает казаться, что весь фокус Белого Всадника состоит лишь в том, что [EoD_doomsday_prophet.GetHeShe] умело манипулирует внимание людей. На самом деле, мне даже приятно находиться рядом.;x
EVTOPTA_RIP_15113;Неплохо, неплохо, наличие при дворе такого человека как [EoD_doomsday_prophet.GetSheHe] было бы весьма полезно.;x
EVTOPTB_RIP_15113;Я никогда не смогу полностью доверять этому человеку.;x
escaped_execution;Избежал казни;x
friends_in_high_places;Друзья в высоких кругах;x
EVTDSC_RIP_15112;Смерть настигла их всех благодаря мне.;x
EVTOPTA_RIP_15112;Угрызения совести почти не тревожат меня.;x
EVTNAME_RIP_15115;Kонец не близок;x
EVTDSC_RIP_15115;Ваш меч извлечен из ножен, а душа жаждет битвы. По вашему приказу воины яростным натиском обрушиваются на непокорных фанатиков. В пылу битвы [From.GetFirstName] встречается с вами взглядом, смесь вызова и возбуждения читается на его лице. Все сражение постепенно меркнет в сравнении с предстоящей дуэлью, от которой зависит исход этого кровавого противостояния. [From.GetFirstName] скрестит свой меч с Белым Всадником, апостолом Апокалипсиса.\n\nПо прошествии времени, размышляя о той битве, вам становиться жаль, что подле вас не было ни одного барда, чтобы увековечить вашу блестящую победу. Но все же война окончена, и это самое главное.;x
EVTOPTA_RIP_15115;В темницу [From.GetHerHis]!;x
EVTNAME_RIP_15116;Kонец;x
EVTDSC_RIP_15116;Свет факелов озаряет готовых к бою фанатиков. Ярость натиска Белого Всадника и его войска уподобляет их великим воинам древности. Но смерть настигла их предводителя неожиданно: очевидцы утверждают, что Белый Всадник споткнулся об тело павшего товарища, напоровшись на сломанное копье. Говорят также, что [From.GetHerHim] до последнего мгновения не верилось в произошедшее.\n\nВероятно [From.GetHerHisCap] наследие уже никогда не охватит столько умов, сколько охватило [From.GetHerHis] иллюзорное величие. В любом случае, вас больше всего успокаивает тот факт, что эта война против живых наконец окончена.;x
EVTOPTA_RIP_15116;[Root.Religion.GetHighGodName] даровал нам свою милость. Наконец-таки мир пришел в эти земли!;x
EoD_uprising_troops_ARMY;Армия;x
EVTDESC_GBC_1;[Root.PrimaryTitle.GetFOA], с прискорбием вынуждены сообщить, что минувшим утром [GBC_dead_one.GetTitledFirstName] сконча[GBC_dead_one.GetLasLsya] от чумы.;x
EVTNAME_GBC_2;Грустная ночь;x
EVTDESC_GBC_2;Прошло уже некоторое время с тех пор, как [GBC_dead_one.GetTitledName] покинул[GBC_dead_one.GetEndA] этот бренный мир, но мысли о н[GBC_dead_one.GetEyYom] не покидают Вас. Иногда по утрам, Вас преследует образ [GBC_dead_one.GetHersHis] лица, покрытого чёрными пятнами. Или же за ужином, когда подают [GBC_dead_one.GetHersHis] любимые блюда. Но, что Вы можете сделать? Быть может, назвать следующего новорождённого при дворе в честь н[GBC_dead_one.GetHersHis]?\nЧасто по ночами Вас мучают сомнения. Когда всё вокруг затихает, и Вы остаётесь наедине со своими мыслями. Почему? За что столь ужасная судьба постигла [GBC_dead_one.GetHersHis]. Неужели [Root.Religion.GetHighGodName] этого пожелал?;x
EVTOPTA_GBC_2;Не могу поверить, что [GBC_dead_one.GetHersHis] больше нет.;x
EVTDESC_GBC_3_A;[GBC_dead_one.GetTitledName]... [GBC_dead_one.GetHersHisCap] больше нет, и я не могу перестать думать об этом. Что ждёт нас после смерти? [Root.GetLordSpiritualName] советует мне заглянуть внутрь себя, и тогда [Root.Religion.GetHighGodName] в своей бесконечной мудрости поможет мне это понять. Но, когда я од[Root.GetNaIn], в темноте, высшие силы не помогают мне.;x
EVTDESC_GBC_3_B;[GBC_dead_one.GetTitledName]... [GBC_dead_one.GetHersHisCap] больше нет, и я не могу перестать думать об этом. Что ждёт нас после смерти? Я пытаюсь заглянуть в себя и найти ответы. Кажется, [Root.Religion.GetHighGodName] поддерживает меня, но когда я остаюсь од[Root.GetNaIn] в темноте, то не могу найти Его.;x
EVTOPTA_GBC_3;Я долж[Root.GetNaEn] с кем-то поговорить об этом...;x
EVTOPTB_GBC_3;Никто не понимает меня.;x
EVTDESC_GBC_5;[GBC_new_friend.GetTitledFirstName] сегодня встретил[GBC_new_friend.GetEndA] меня около могилы, которую я в последнее время посещаю чуть ли не каждый день. "[GBC_dead_one.GetTitledName]... Нам всем [GBC_dead_one.GetHersHis] не хватает. Но [Root.GetTitle] не долж[Root.GetNaEn] показывать своё горе. Понимаю, это тяжело", - спокойно сказал[GBC_new_friend.GetEndA] [GBC_new_friend.GetSheHe].;x
EVTOPTA_GBC_5;Но я - живой человек, они должны понять это.;x
EVTOPTB_GBC_5;Я в порядке, поверь мне. Не будем больше об этом.;x
EVTDESC_GBC_6;[GBC_new_friend.GetFirstName] рассказал[GBC_new_friend.GetEndA] мне, что [GBC_dead_one.GetTitledName] увлека[GBC_dead_one.GetLasLsya] птицами. Я и понятия не имел[Root.GetEndA]. Оказывается, у н[GBC_dead_one.GetHersHis] была ручная сова. "Это Геката. Похоже, Вы ей нравитесь", - с лёгкой улыбкой сказал[GBC_new_friend.GetEndA] [GBC_new_friend.GetFirstName], поглаживая её голову.;x
EVTOPTA_GBC_6;Какое милое создание!;x
EVTOPTB_GBC_6;Я не могу её взять.;x
pet_owl;Ручная сова;x
EVTDESC_GBC_73;Сегодня на заседании м[GBC_nice_councillor.GetOyaOy] советни[GBC_nice_councillor.GetTsaK] [GBC_nice_councillor.GetFirstName], нахмурив брови, высказал[GBC_nice_councillor.GetEndA] свои замечания: "[Root.PrimaryTitle.GetFOA], не могу не заметить, что Ваш[GBC_new_friend.GetEndA] родственни[GBC_new_friend.GetTsaK] [GBC_new_friend.GetFirstName] посещает Вас гораздо чаще обычного. Не знал[GBC_nice_councillor.GetEndA], что вы столь близки".;x
EVTOPTA_GBC_73;Полагаю, горе объединило нас.;x
EVTOPTB_GBC_73;Не понимаю, о чём Вы говорите.;x
EVTDESC_GBC_8;Тихое спокойное утро. Я в своих покоях кормил[Root.GetEndA] любимую сову. Вдруг [GBC_new_friend.GetFirstName] ворва[GBC_new_friend.GetLasLsya] в комнату и сразу направи[GBC_new_friend.GetLasLsya] к Гекате. "Я передумал[GBC_new_friend.GetEndA]!" - заявил[GBC_new_friend.GetEndA] [GBC_new_friend.GetSheHe], бесцеремонно забрав клетку.;x
EVTOPTA_GBC_8;Эй, постой! Что случилось?!;x
EVTOPTB_GBC_8;Ты не можешь её забрать! Я тебе не позволю!;x
EVTOPTC_GBC_8;Ладно. Я всё равно уже устал[Root.GetEndA] от этого.;x
EVTDESC_GBC_9;[GBC_new_friend.GetFirstName] останови[GBC_new_friend.GetLasLsya] и закрыл[GBC_new_friend.GetEndA] своё лицо руками: "Прости, [Root.GetFirstName]. Я не знаю, что делаю". Когда [GBC_new_friend.GetSheHe] убрал[GBC_new_friend.GetEndA] руки, я увидел[Root.GetEndA], как по [GBC_new_friend.GetHersHis] щекам текли слёзы: "Мне кажется, я умираю. Я покину тебя точно так же, как [GBC_dead_one.GetFirstName] покинул нас".;x
EVTOPTA_GBC_9;Я видел[Root.GetEndA] чуму. Уверяю тебя, это не она.;x
EVTOPTB_GBC_9;Успокойся, [GBC_new_friend.GetFirstName]!;x
EVTDESC_GBC_10;[GBC_new_friend.GetFirstName] упал[GBC_new_friend.GetEndA] на колени и зарыда[GBC_new_friend.GetEndA]: "Мне не следовало обременять тебя этим. Меня вообще не должно быть здесь!"\n[GBC_new_friend.GetFirstName] убежал прочь, оставив меня наедине с загадочной птицей.;x
EVTOPTA_GBC_10;Мы поговорим, когда [GBC_new_friend.GetSheHe] будет готов[GBC_new_friend.GetEndA].;x
EVTOPTB_GBC_10;Что с н[GBC_new_friend.GetEyIm] случилось? Я долж[Root.GetNaEn] это выяснить!;x
EVTDESC_GBC_11;[GBC_new_friend.GetFirstName], пробормотав проклятья, резко ударил[GBC_new_friend.GetEndA] кулаком по стене. "Вы не понимаете... Не так ли, [Root.PrimaryTitle.GetFOA]?! Всё сгинет в небытие! И Вы, и я, и даже эта чёртова птица!" - прокричал[GBC_new_friend.GetEndA] [GBC_new_friend.GetSheHe]. Сова уставилась на меня с полным безразличием в глазах.;x
EVTOPTA_GBC_11;Прочь из моих покоев... Выметайся!;x
EVTOPTA_GBC_11_TOOLTIP;§Y[GBC_new_friend.GetFirstName]§! уходит, громко хлопнув дверью.\n;x
EVTDESC_GBC_17_A;Когда [GBC_new_friend.GetTitledFirstName] пригласил[GBC_new_friend.GetEndA] меня на охоту, я был[Root.GetEndA] очень рад[Root.GetEndA]. Поначалу [GBC_new_friend.GetSheHe] немного нервничал[GBC_new_friend.GetEndA], но вскоре мы вернулись к прежней непринуждённости. Я познакоми[Root.GetLasLsya] с [GBC_new_friend.GetHersHis] новым соколом по имени [Root.GetFirstName]! Если [GBC_new_friend.GetSheHe] и бол[GBC_new_friend.GetSoftNaEn], то умело это скрывает.;x
EVTDESC_GBC_17_B;Признаюсь, когда [GBC_new_friend.GetTitledFirstName] пригласил[GBC_new_friend.GetEndA] меня на охоту, я был[Root.GetEndA] в замешательстве. Мы избегали друг друга с того самого разговора, но что-то мне подсказывает - пора простить [GBC_new_friend.GetHersHis]. Конечно, было весело, я познакоми[Root.GetLasLsya] с [GBC_new_friend.GetHersHis] новым соколом по имени [Root.GetFirstName]. Но думаю, [GBC_new_friend.GetHersHis] что-то гложет, и мы должны поговорить об этом.;x
EVTOPTA_GBC_17;Даже солнце поднимается и опускается время от времени.;x
EVTOPTA_GBC_17_TOOLTIP;Будущее неопределённо, но по крайней мере Вы снова на [GBC_new_friend.GetHersHis] стороне.;x
EVTOPTB_GBC_17;У друзей нет секретов, не так ли?;x
EVTOPTB_GBC_17_TOOLTIP;Вы надеетесь, что пройдёте через это вместе, несмотря на неопределённость будущего.;x
EVTNAME_GBC_12;Mелкие неурядицы;x
